record,age,sex,weight,hungry,fast_food,fruit,vegetable,soft_drink,cigarette,alcohol
211,16,Female,Average weight,Never,3 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,3 times per day,0 days,3 to 5 days
212,16,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,1 time per day,I did not drink carbonated soft drinks,0 days,0 days
213,16,Female,NA,Rarely,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,3 to 5 days
214,16,Female,NA,Never,0 days,4 or more times per day,4 or more times per day,2 times per day,0 days,0 days
215,17,Male,Overweight,Never,0 days,NA,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,6 to 9 days,6 to 9 days
216,17,Male,Average weight,Never,1 day,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 time per day,0 days,0 days
217,17,Male,Average weight,Never,0 days,4 or more times per day,3 times per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
218,16,Male,Overweight,Never,0 days,1 to 3 times during the past 7 days,1 time per day,4 to 6 times during the past 7 days,0 days,1 or 2 days
219,16,Male,Average weight,Rarely,0 days,1 to 3 times during the past 7 days,1 time per day,I did not drink carbonated soft drinks,0 days,10 to 19 days
220,16,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,0 days
221,13,Male,NA,Rarely,1 day,1 to 3 times during the past 7 days,4 or more times per day,1 to 3 times during the past 7 days,0 days,NA
222,13,Female,NA,Never,0 days,4 to 6 times during the past 7 days,1 time per day,1 to 3 times during the past 7 days,0 days,0 days
223,14,Female,Overweight,Never,0 days,1 to 3 times during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,0 days
224,13,Female,Average weight,Rarely,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 time per day,0 days,0 days
225,13,Male,Average weight,Never,1 day,1 to 3 times during the past 7 days,3 times per day,2 times per day,0 days,1 or 2 days
226,13,Female,Average weight,Rarely,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
227,13,Female,Average weight,Never,4 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
228,13,Female,NA,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 or more times per day,0 days,1 or 2 days
229,13,Female,Average weight,Rarely,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,10 to 19 days
230,13,Male,NA,Never,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
231,13,Female,NA,Never,0 days,1 time per day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
232,14,Female,NA,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
233,13,Male,Overweight,Never,2 days,1 time per day,2 times per day,1 time per day,0 days,3 to 5 days
234,14,Female,NA,Rarely,0 days,4 or more times per day,1 time per day,1 time per day,0 days,0 days
235,13,Female,NA,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
236,13,Female,Average weight,Never,3 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,2 times per day,0 days,0 days
237,14,Male,Average weight,Never,1 day,3 times per day,1 time per day,1 to 3 times during the past 7 days,0 days,3 to 5 days
238,13,Female,Overweight,Never,1 day,1 to 3 times during the past 7 days,1 time per day,1 to 3 times during the past 7 days,0 days,0 days
239,13,Female,Overweight,Never,0 days,4 or more times per day,4 or more times per day,1 to 3 times during the past 7 days,0 days,10 to 19 days
240,13,Female,Average weight,Sometimes,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,3 to 5 days
241,13,Male,Average weight,Never,2 days,2 times per day,1 time per day,1 time per day,0 days,3 to 5 days
242,13,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,3 times per day,I did not drink carbonated soft drinks,0 days,0 days
243,13,Female,Average weight,Never,1 day,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,3 to 5 days
244,12,Female,Overweight,Rarely,2 days,1 time per day,1 time per day,4 to 6 times during the past 7 days,0 days,1 or 2 days
245,13,Female,Overweight,Never,1 day,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 or 2 days,6 to 9 days
246,13,Female,NA,Never,1 day,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
247,13,Male,Average weight,Never,1 day,1 to 3 times during the past 7 days,2 times per day,I did not drink carbonated soft drinks,0 days,All 30 days
248,13,Female,NA,Never,6 days,1 time per day,4 to 6 times during the past 7 days,2 times per day,0 days,0 days
249,13,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,All 30 days
250,13,Female,NA,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,10 to 19 days
251,13,Female,Overweight,Never,7 days,3 times per day,3 times per day,I did not drink carbonated soft drinks,6 to 9 days,1 or 2 days
252,14,Male,Overweight,Rarely,1 day,2 times per day,1 time per day,1 time per day,0 days,1 or 2 days
253,13,Male,NA,Never,0 days,4 to 6 times during the past 7 days,1 time per day,1 time per day,0 days,0 days
254,13,Female,NA,Rarely,2 days,2 times per day,2 times per day,I did not drink carbonated soft drinks,0 days,0 days
255,13,Female,NA,Never,1 day,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,3 times per day,0 days,1 or 2 days
256,13,Female,NA,Never,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
257,13,Female,Underweight,Sometimes,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
258,13,Female,NA,Rarely,1 day,1 to 3 times during the past 7 days,3 times per day,1 to 3 times during the past 7 days,0 days,0 days
259,13,Female,NA,Never,2 days,3 times per day,2 times per day,4 or more times per day,0 days,1 or 2 days
260,13,Male,Average weight,Never,0 days,2 times per day,I did not eat vegetables during the past 7 days,3 times per day,0 days,0 days
261,13,Female,Average weight,Never,0 days,4 or more times per day,1 time per day,3 times per day,0 days,NA
262,13,Female,Average weight,Never,2 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,4 or more times per day,0 days,20 to 29 days
263,13,Male,Overweight,Rarely,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
264,13,Female,Average weight,Never,1 day,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
265,13,Female,Overweight,Never,0 days,4 or more times per day,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
266,14,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,2 times per day,0 days,6 to 9 days
267,13,Male,Average weight,Never,0 days,1 to 3 times during the past 7 days,1 time per day,1 to 3 times during the past 7 days,0 days,NA
268,14,Female,Average weight,Never,7 days,I did not eat fruit during the past 7 days,1 time per day,4 to 6 times during the past 7 days,0 days,20 to 29 days
269,14,Female,NA,Never,3 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,3 to 5 days,6 to 9 days
270,13,Male,Average weight,Sometimes,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
271,14,Female,NA,Sometimes,0 days,1 time per day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
272,13,Male,NA,Never,0 days,4 or more times per day,1 time per day,1 time per day,0 days,0 days
273,13,Female,Average weight,Rarely,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
274,13,Male,Overweight,Never,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
275,13,Male,NA,Always,2 days,2 times per day,2 times per day,3 times per day,0 days,1 or 2 days
276,13,Male,Overweight,Never,0 days,2 times per day,2 times per day,1 to 3 times during the past 7 days,0 days,0 days
277,14,Male,Overweight,Sometimes,1 day,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
278,13,Male,NA,Sometimes,0 days,3 times per day,I did not eat vegetables during the past 7 days,2 times per day,0 days,1 or 2 days
279,13,Male,NA,Never,0 days,4 or more times per day,4 or more times per day,3 times per day,0 days,6 to 9 days
280,14,Male,Overweight,Sometimes,0 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
281,14,Male,Overweight,Never,0 days,1 to 3 times during the past 7 days,1 time per day,3 times per day,0 days,1 or 2 days
282,13,Male,NA,Never,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,NA
283,14,Male,NA,Never,2 days,4 or more times per day,1 time per day,1 time per day,0 days,3 to 5 days
284,14,Female,Average weight,Never,0 days,3 times per day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
285,14,Female,Overweight,Rarely,1 day,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
286,15,Male,NA,Never,1 day,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 time per day,0 days,0 days
287,14,Male,Overweight,Rarely,0 days,4 to 6 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
288,15,Male,Overweight,Never,1 day,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,1 or 2 days,3 to 5 days
289,14,Female,Overweight,Sometimes,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,6 to 9 days,3 to 5 days
290,15,Male,Average weight,Never,0 days,I did not eat fruit during the past 7 days,1 time per day,1 to 3 times during the past 7 days,1 or 2 days,1 or 2 days
291,14,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,1 time per day,2 times per day,0 days,0 days
292,15,Male,Average weight,Never,0 days,1 time per day,2 times per day,I did not drink carbonated soft drinks,0 days,0 days
293,15,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 time per day,0 days,1 or 2 days
294,14,Female,Average weight,Never,2 days,1 time per day,I did not eat vegetables during the past 7 days,3 times per day,1 or 2 days,6 to 9 days
295,14,Female,NA,Never,0 days,4 or more times per day,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
296,14,Male,Overweight,Never,0 days,1 to 3 times during the past 7 days,1 time per day,2 times per day,0 days,0 days
297,14,Female,Overweight,Never,0 days,4 to 6 times during the past 7 days,2 times per day,4 to 6 times during the past 7 days,0 days,0 days
298,14,Male,NA,Most of the time,1 day,1 time per day,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,3 to 5 days
299,14,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,2 times per day,I did not drink carbonated soft drinks,0 days,0 days
300,14,Male,Overweight,Rarely,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
301,14,Female,NA,Never,0 days,1 time per day,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
302,14,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,1 or 2 days
303,14,Female,Overweight,Never,0 days,2 times per day,2 times per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
304,15,Female,Average weight,Never,1 day,2 times per day,I did not eat vegetables during the past 7 days,2 times per day,0 days,10 to 19 days
305,14,Male,NA,Rarely,0 days,1 to 3 times during the past 7 days,2 times per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
306,14,Male,NA,Rarely,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,3 to 5 days
307,14,Female,NA,Rarely,1 day,1 time per day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
308,14,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,3 to 5 days
309,16,Male,Underweight,Rarely,1 day,1 time per day,1 time per day,3 times per day,0 days,1 or 2 days
310,15,Female,Average weight,Rarely,0 days,3 times per day,2 times per day,1 to 3 times during the past 7 days,0 days,3 to 5 days
311,15,Female,NA,Never,0 days,1 time per day,1 time per day,4 or more times per day,0 days,3 to 5 days
